docs_id,doc_code,projection_apa,res_fields,dbases,if_info,scopus_info,pub_year
23071725,S1,"Ratautas, D., Tetianec, L., Marcinkevičienė, L., Meškys, R., & Kulys, J. (2017). Bioanode with alcohol dehydrogenase undergoing a direct electron transfer on functionalized gold nanoparticles for an application in biofuel cells for glycerol conversion. <i><i>Biosensors and Bioelectronics</i></i>, <i>98</i>, 215-221. doi:<a target=""_blank"" href=""https://doi.org/10.1016/j.bios.2017.06.048"">10.1016/j.bios.2017.06.048</a>",T 005; N 004,Embase; Scopus; Science Citation Index; BIOSIS Previews; ScienceDirect; AGRICOLA; Science Citation Index Expanded (Web of Science),"IF: 8,173, AIF: 4,179, Q1 (2017, InCites JCR SCIE)","CiteScore: 7,83, SNIP: 1,656, SJR: 2,373, Q1 (2017, Scopus Sources)",2017
23074115,S1,"Vekteris, V., Styra, A., & Mokšin, V. (2017). Efficiency investigation of pulsating flow ejector used to remove iron from drinking water. <i><i>Journal of environmental protection and ecology</i></i>, <i>18</i>(3), 1078-1087. Retrieved 2017, November 30, from <a target=""_blank"" href=""http://www.jepe-journal.info/journal-content/vol-18-no-3"">http://www.jepe-journal.info/journal-content/vol-18-no-3</a>",T 009,GEOBASE; Scopus; Chemical abstracts; Science Citation Index Expanded (Web of Science),"IF: 0,679, AIF: 3,488, Q4 (2017, InCites JCR SCIE)","CiteScore: 0,75, SNIP: 0,884, SJR: 0,306, Q3 (2017, Scopus Sources)",2017
23074502,S4,"Miniotas, D., Katkevičius, A., & Plonis, D. (2017). The study of road conditions that affect tilt-based text input for mobile devices. <i><i>Mokslas – Lietuvos ateitis: Elektronika ir elektrotechnika = Science – future of Lithuania: Electronics and electrical engineering</i></i>, <i>9</i>(3), 345-348. doi:<a target=""_blank"" href=""https://doi.org/10.3846/mla.2017.1038"">10.3846/mla.2017.1038</a>",T 001,Academic Search Complete; Gale's Academic OneFile; Index Copernicus (IC); ICONDA,,,2017
23074640,S8,"Navakauskas, D., Paulikas, Š., Plonis, D., & Udris, D. (2017). Proceedings of the 2017 Open Conference of Electrical, Electronic and Information Sciences (eStream’2017) : organizers foreword. <i><i>2017 Open conference of Electrical, Electronic and Information Sciences (eStream): proceedings of the conference, April 27, 2017, Vilnius, Lithuania</i></i>, 1-5. doi:<a target=""_blank"" href=""https://doi.org/10.1109/eStream.2017.7950300"">10.1109/eStream.2017.7950300</a>",T 007; T 001,IEEE Xplore; Scopus,,,2017
23077298,S6,"Pilibaitienė, J. (aut., imant. inter.) ir Marčiukaitis, J. G. (aut., duod. inter.) (2017). Pastatų ilgalaikiškumas - nuo projektavimo iki eksploatacijos ir priežiūros. <i><i>Structum</i></i>, 6, 34-39. Žiūrėta 2017 m. liepos 13 d. per <a target=""_blank"" href=""http://www.structum.lt/magazine/2017-06-29-birzelis-2017"">http://www.structum.lt/magazine/2017-06-29-birzelis-2017</a>",T 002,,,,2017
23079913,S4,"Batarlienė, N., Čižiūnienė, K. ir Stasevič, M. (2017). Informacinių technologijų taikymo Lietuvos transporto įmonėse tyrimas. <i><i>Aukštųjų mokyklų vaidmuo visuomenėje: iššūkiai, tendencijos ir perspektyvos: mokslo darbai = Role of Higher Education Institutions in Society: Challenges, Tendencies and Perspectives: academic papers</i></i>, <i>1(6)</i>, 26-32. Žiūrėta 2017 m. liepos 10 d. per <a target=""_blank"" href=""http://alytauskolegija.lt/wp-content/uploads/2017/12/2017_konferencijos_leidinys.pdf"">http://alytauskolegija.lt/wp-content/uploads/2017/12/2017_konferencijos_leidinys.pdf</a>",S 003; S 004; T 003,IndexCopernicus,,,2017
23079991,S4,"Butytė, E. ir Čižiūnienė, K. (2017). Medijos ir jų taikymo galimybės aukštojoje madoje. <i><i>Aukštųjų mokyklų vaidmuo visuomenėje: iššūkiai, tendencijos ir perspektyvos: mokslo darbai = Role of Higher Education Institutions in Society: Challenges, Tendencies and Perspectives: academic papers</i></i>, <i>1(60)</i>, 50-54. Žiūrėta 2017 m. liepos 10 d. per <a target=""_blank"" href=""http://alytauskolegija.lt/wp-content/uploads/2017/12/2017_konferencijos_leidinys.pdf"">http://alytauskolegija.lt/wp-content/uploads/2017/12/2017_konferencijos_leidinys.pdf</a>",S 004; S 003; S 008,IndexCopernicus,,,2017
23080048,S4,"Čižiūnienė, K., Rimkus, A. ir Surblys, V. (2017). Jaunų specialistų motyvai dirbti aukštojoje mokykloje. <i><i>Aukštųjų mokyklų vaidmuo visuomenėje: iššūkiai, tendencijos ir perspektyvos: mokslo darbai = Role of Higher Education Institutions in Society: Challenges, Tendencies and Perspectives: academic papers</i></i>, <i>1(6)</i>, 63-66. Žiūrėta 2017 m. liepos 10 d. per <a target=""_blank"" href=""http://alytauskolegija.lt/wp-content/uploads/2017/12/2017_konferencijos_leidinys.pdf"">http://alytauskolegija.lt/wp-content/uploads/2017/12/2017_konferencijos_leidinys.pdf</a>",S 007; S 003; S 004,IndexCopernicus,,,2017
23080089,S4,"Čižiūnienė, K., Štaraitė, E. ir Matijošius, J. (2017). Automobilių techninio eksploatavimo specialistų parengimo vertinimas ir tęstinio mokymosi poreikis. <i><i>Aukštųjų mokyklų vaidmuo visuomenėje: iššūkiai, tendencijos ir perspektyvos: mokslo darbai = Role of Higher Education Institutions in Society: Challenges, Tendencies and Perspectives: academic papers</i></i>, <i>1(6)</i>, 67-70. Žiūrėta 2017 m. liepos 11 d. per <a target=""_blank"" href=""http://alytauskolegija.lt/wp-content/uploads/2017/12/2017_konferencijos_leidinys.pdf"">http://alytauskolegija.lt/wp-content/uploads/2017/12/2017_konferencijos_leidinys.pdf</a>",S 003; S 004; T 003,IndexCopernicus,,,2017
23080145,S4,"Liebuvienė, J., Šileikienė, A. ir Čižiūnienė, K. (2017). Elektroninės transporto biržos TimoCom situacijos analizė Lietuvoje. <i><i>Aukštųjų mokyklų vaidmuo visuomenėje: iššūkiai, tendencijos ir perspektyvos: mokslo darbai = Role of Higher Education Institutions in Society: Challenges, Tendencies and Perspectives: academic papers</i></i>, <i>1(6)</i>, 147-152. Žiūrėta 2017 m. liepos 11 d. per <a target=""_blank"" href=""http://alytauskolegija.lt/wp-content/uploads/2017/12/2017_konferencijos_leidinys.pdf"">http://alytauskolegija.lt/wp-content/uploads/2017/12/2017_konferencijos_leidinys.pdf</a>",S 003; S 004; T 003,IndexCopernicus,,,2017
