source,type,target,weight
152,undirected,4002,1
152,undirected,4232,2
152,undirected,5295,1
153,undirected,211,1
153,undirected,583,2
153,undirected,1334,2
153,undirected,2009,1
153,undirected,3751,10
153,undirected,4299,2
153,undirected,4390,2
153,undirected,4548,4
153,undirected,4574,2
153,undirected,5393,2
154,undirected,193,1
154,undirected,1393,1
154,undirected,2163,1
155,undirected,856,3
155,undirected,1514,3
155,undirected,1934,2
155,undirected,2959,1
155,undirected,3057,1
155,undirected,3485,2
155,undirected,3641,2
155,undirected,4110,1
155,undirected,4562,1
156,undirected,1054,1
156,undirected,4330,6
157,undirected,2845,1
157,undirected,2919,1
157,undirected,5082,1
157,undirected,5093,1
158,undirected,3333,1
158,undirected,3451,1
158,undirected,3669,1
158,undirected,4451,1
158,undirected,4748,1
159,undirected,540,1
159,undirected,853,1
159,undirected,943,1
159,undirected,1156,1
159,undirected,1787,1
159,undirected,3192,1
159,undirected,3279,1
159,undirected,3511,1
159,undirected,3953,1
159,undirected,4132,1
159,undirected,4249,1
159,undirected,4485,1
159,undirected,4906,1
160,undirected,1283,1
160,undirected,1368,1
160,undirected,1716,3
160,undirected,2026,1
160,undirected,2027,2
160,undirected,4399,1
160,undirected,5127,2
161,undirected,278,1
161,undirected,295,1
161,undirected,300,1
161,undirected,317,1
161,undirected,426,2
161,undirected,541,21
161,undirected,621,1
161,undirected,739,2
161,undirected,759,1
161,undirected,967,3
161,undirected,984,1
161,undirected,1217,1
161,undirected,1350,1
161,undirected,1663,1
161,undirected,1823,1
161,undirected,2106,12
161,undirected,2197,2
161,undirected,2299,2
161,undirected,2365,1
161,undirected,2372,4
161,undirected,2445,2
161,undirected,2689,1
161,undirected,2739,1
161,undirected,2756,1
161,undirected,2789,2
161,undirected,3319,2
161,undirected,3391,2
161,undirected,3645,1
161,undirected,3731,14
161,undirected,3757,1
161,undirected,4314,1
161,undirected,4385,7
161,undirected,4413,2
161,undirected,4480,1
161,undirected,4483,2
161,undirected,4525,4
161,undirected,4639,37
161,undirected,4715,2
161,undirected,4717,2
161,undirected,4768,2
161,undirected,5100,2
161,undirected,5284,3
161,undirected,5329,1
161,undirected,5332,3
161,undirected,5380,1
161,undirected,5433,1
161,undirected,5437,4
161,undirected,5554,1
162,undirected,520,1
162,undirected,857,2
162,undirected,1435,2
